Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Wed Jul 1 2:42 PM,Wed Jul 1 2:57 PM,0.3 hr,347,347,https://www.instagram.com/reel/DaOK1gHhkPi/
Wed Jul 1 2:57 PM,Wed Jul 1 3:12 PM,0.2 hr,275,622,
Wed Jul 1 3:12 PM,Wed Jul 1 3:27 PM,0.3 hr,232,854,
Wed Jul 1 3:27 PM,Wed Jul 1 3:42 PM,0.3 hr,191,1045,
Wed Jul 1 3:42 PM,Wed Jul 1 3:57 PM,0.2 hr,221,1266,
Wed Jul 1 3:57 PM,Wed Jul 1 4:12 PM,0.3 hr,135,1401,
Wed Jul 1 4:12 PM,Wed Jul 1 4:42 PM,0.5 hr,166,1567,
Wed Jul 1 4:42 PM,Wed Jul 1 5:12 PM,0.5 hr,162,1729,
Wed Jul 1 5:12 PM,Wed Jul 1 5:42 PM,0.5 hr,181,1910,
Wed Jul 1 5:42 PM,Wed Jul 1 6:12 PM,0.5 hr,326,2236,
Wed Jul 1 6:12 PM,Wed Jul 1 6:42 PM,0.5 hr,361,2597,
Wed Jul 1 6:42 PM,Wed Jul 1 7:12 PM,0.5 hr,269,2866,
Wed Jul 1 7:12 PM,Wed Jul 1 7:42 PM,0.5 hr,292,3158,
Wed Jul 1 7:42 PM,Wed Jul 1 8:12 PM,0.5 hr,314,3472,
Wed Jul 1 8:12 PM,Wed Jul 1 8:42 PM,0.5 hr,284,3756,
Wed Jul 1 8:42 PM,Wed Jul 1 9:12 PM,0.5 hr,343,4099,
Wed Jul 1 9:12 PM,Wed Jul 1 9:42 PM,0.5 hr,450,4549,
Wed Jul 1 9:42 PM,Wed Jul 1 10:12 PM,0.5 hr,276,4825,
Wed Jul 1 10:12 PM,Wed Jul 1 10:42 PM,0.5 hr,270,5095,
Wed Jul 1 10:42 PM,Wed Jul 1 11:12 PM,0.5 hr,189,5284,
Wed Jul 1 11:12 PM,Wed Jul 1 11:42 PM,0.5 hr,116,5400,
Wed Jul 1 11:42 PM,Thu Jul 2 12:12 AM,0.5 hr,122,5522,
Thu Jul 2 12:12 AM,Thu Jul 2 12:42 AM,0.5 hr,130,5652,
Thu Jul 2 12:42 AM,Thu Jul 2 1:12 AM,0.5 hr,124,5776,
Thu Jul 2 1:12 AM,Thu Jul 2 1:42 AM,0.5 hr,146,5922,
Thu Jul 2 1:42 AM,Thu Jul 2 2:12 AM,0.5 hr,102,6024,
Thu Jul 2 2:12 AM,Thu Jul 2 2:42 AM,0.5 hr,187,6211,
Thu Jul 2 2:42 AM,Thu Jul 2 3:42 AM,1.0 hr,444,6655,
Thu Jul 2 3:42 AM,Thu Jul 2 4:42 AM,1.0 hr,246,6901,
Thu Jul 2 4:42 AM,Thu Jul 2 5:42 AM,1.0 hr,228,7129,
Thu Jul 2 5:42 AM,Thu Jul 2 6:42 AM,1.0 hr,194,7323,
Thu Jul 2 6:42 AM,Thu Jul 2 7:42 AM,1.0 hr,158,7481,
Thu Jul 2 7:42 AM,Thu Jul 2 8:42 AM,1.0 hr,161,7642,
Thu Jul 2 8:42 AM,Thu Jul 2 9:42 AM,1.0 hr,188,7830,
Thu Jul 2 9:42 AM,Thu Jul 2 10:42 AM,1.0 hr,194,8024,
Thu Jul 2 10:42 AM,Thu Jul 2 11:42 AM,1.0 hr,209,8233,
Thu Jul 2 11:42 AM,Thu Jul 2 12:42 PM,1.0 hr,317,8550,
Thu Jul 2 12:42 PM,Thu Jul 2 1:42 PM,1.0 hr,306,8856,
Thu Jul 2 1:42 PM,Thu Jul 2 2:42 PM,1.0 hr,299,9155,
Thu Jul 2 2:42 PM,Thu Jul 2 5:42 PM,3.0 hr,694,9849,
Thu Jul 2 5:42 PM,Thu Jul 2 8:42 PM,3.0 hr,936,10785,
Thu Jul 2 8:42 PM,Thu Jul 2 11:42 PM,3.0 hr,713,11498,
Thu Jul 2 11:42 PM,Fri Jul 3 2:42 AM,3.0 hr,565,12063,
Fri Jul 3 2:42 AM,Fri Jul 3 5:42 AM,3.0 hr,344,12407,
Fri Jul 3 5:42 AM,Fri Jul 3 8:42 AM,3.0 hr,204,12611,
Fri Jul 3 8:42 AM,Fri Jul 3 11:42 AM,3.0 hr,440,13051,
Fri Jul 3 11:42 AM,Fri Jul 3 2:42 PM,3.0 hr,683,13734,
Fri Jul 3 2:42 PM,Fri Jul 3 8:42 PM,6.0 hr,1459,15193,
Fri Jul 3 8:42 PM,Sat Jul 4 2:42 AM,6.0 hr,1143,16336,
Sat Jul 4 2:42 AM,Sat Jul 4 8:42 AM,6.0 hr,783,17119,
Sat Jul 4 8:42 AM,Sat Jul 4 2:42 PM,6.0 hr,1058,18177,
Sat Jul 4 2:42 PM,Sat Jul 4 8:42 PM,6.0 hr,1233,19410,
Sat Jul 4 8:42 PM,Sun Jul 5 2:42 AM,6.0 hr,62,19472,
Sun Jul 5 2:42 AM,Sun Jul 5 8:42 AM,6.0 hr,51,19523,
Sun Jul 5 8:42 AM,Sun Jul 5 2:42 PM,6.0 hr,51,19574,
Sun Jul 5 2:42 PM,Mon Jul 6 2:42 AM,12.0 hr,70,19644,
Mon Jul 6 2:42 AM,Mon Jul 6 2:42 PM,12.0 hr,104,19748,
Mon Jul 6 2:42 PM,Tue Jul 7 2:42 AM,12.0 hr,168,19916,
Tue Jul 7 2:42 AM,Tue Jul 7 2:42 PM,12.0 hr,212,20128,
Tue Jul 7 2:42 PM,Wed Jul 8 2:42 AM,12.0 hr,260,20388,
Wed Jul 8 2:42 AM,Wed Jul 8 2:42 PM,12.0 hr,163,20551,
Wed Jul 8 2:42 PM,Thu Jul 9 2:42 PM,24.0 hr,541,21092,