Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves,WeekDay,Time
TrilliumTrading,"Strong partnerships create meaningful opportunities.

We hosted students from @futuresandoptions at our NYC office, where they heard from firm leadership, toured the trading floor, and shadowed traders to experience the desk in real time.

A reflection of our ongoing commitment to education and our partnership with Futures and Options.

#TrilliumTrading #FuturesAndOptions #Trading #Finance #Careers",0,4/15/2026 10:38,https://www.instagram.com/p/DXKTZlHkcJt/,IG carousel,,Lifetime,1075,441,27,0,0,0,4,Wednesday,10:30:00 AM
TrilliumTrading,"What can traders learn from an SEC championship coach?

Quite a bit.

Here's a preview of our conversation with Coach Bruce Pearl.

Watch the full interview on our YouTube channel. Link in bio.",88,7/9/2026 8:22,https://www.instagram.com/reel/Dak7SEeDDaP/,IG reel,,Lifetime,1499,1209,49,6,2,0,6,Thursday,8:30:00 AM
TrilliumTrading,"A day in the life of a Trillium Trading Intern - no trending audio.

The day started at the New York Stock Exchange, where our interns experienced the Opening Bell before heading back to the office for mock trading, typing drills, and hands-on learning alongside our traders.

We wrapped up the day with a visit to Times Square to see Trillium featured on the Nasdaq Tower.

One day. Countless experiences.

#notrendingaudio #Internship #DayInTheLife #NYSE #Nasdaq",35,7/8/2026 8:58,https://www.instagram.com/reel/DaianjkOiQ1/,IG reel,,Lifetime,25051,20022,559,174,178,2,99,Wednesday,9:00:00 AM
TrilliumTrading,"There's no better way to kick off the summer than hearing from the person who started it all.

Our 2026 Trading Interns recently sat down with Trillium Founder and Owner, Lee Maschler, for a conversation on trading, leadership, and the mindset behind long-term success.

A meaningful start to the summer ahead.

#TrilliumTrading #Internship #Trading #Mentorship",0,7/7/2026 9:06,https://www.instagram.com/p/Daf2m1XlqvM/,IG carousel,,Lifetime,2292,979,68,4,1,2,10,Tuesday,9:00:00 AM
TrilliumTrading,"Building relationships from day one.

Our 2026 Trading Interns recently met their mentors, marking the start of relationships that will shape their summer on the trading desk.

Here's to a summer of learning, growth, and mentorship.

#TrilliumTrading #Internship #Trading #Mentorship",0,7/2/2026 9:06,https://www.instagram.com/p/DaS-pWaoEWP/,IG carousel,,Lifetime,25478,12172,669,213,285,0,200,Thursday,9:00:00 AM
TrilliumTrading,"Trillium Trading, live in Times Square.

Yesterday, we were featured on the @Nasdaq Tower, one of the most recognizable displays in the world.

A proud moment for our firm, our people, and the culture we continue to build.",0,7/1/2026 11:42,https://www.instagram.com/p/DaQr8WHEZiK/,IG carousel,,Lifetime,25510,10513,292,52,75,3,38,Wednesday,11:30:00 AM
TrilliumTrading,"Growing up, not everyone dreamed of becoming a trader.

So what changed?

We asked our 2026 Trading Interns what they wanted to be as kids, and how their path eventually led them to the trading floor.

Turns out, there isn’t just one path to trading.",37,6/30/2026 12:15,https://www.instagram.com/reel/DaOK1gHhkPi/,IG reel,,Lifetime,21472,17646,140,117,68,0,58,Tuesday,12:00:00 PM
TrilliumTrading,"Meet the 2026 Trading Interns. 

This summer, they’ll gain firsthand exposure to the markets, learn alongside our veteran traders, and begin building the foundation for their careers. 

We're excited to see what the summer brings.",0,6/25/2026 9:04,https://www.instagram.com/p/DaA828HFI9n/,IG carousel,,Lifetime,7915,3418,119,13,11,0,13,Thursday,9:00:00 AM
TrilliumTrading,"Screens off. Games on.

Our NYC team recently gathered at Slate for the 2026 Summer Shindig, trading the office for an evening of games, laughs, and friendly competition.

A great night with great people.

#TrilliumTrading #Culture #TeamTrillium",0,6/24/2026 9:37,https://www.instagram.com/p/DZ-cBwfEey2/,IG carousel,,Lifetime,2681,1169,51,7,1,1,3,Wednesday,9:30:00 AM
TrilliumTrading,"The countdown is on.

In just a few days, our 2026 Trading Interns will join us on the desk for a summer of learning, collaboration, and hands-on experience.

For now, we're getting the welcome kits ready.

See you soon, Class of 2026.

#TrilliumTrading #Internship #Trading #Finance",51,6/18/2026 12:01,https://www.instagram.com/reel/DZvPrz7iHqO/,IG reel,,Lifetime,1816,1528,36,3,1,0,1,Thursday,12:00:00 PM
TrilliumTrading,"Autonomy in Trading.

Find your edge. Trade your strategy. Own your process.

Here’s what that looks like.",0,6/17/2026 9:04,https://www.instagram.com/p/DZsWc2vEb1U/,IG image,,Lifetime,1282,775,16,0,0,0,6,Wednesday,9:00:00 AM
TrilliumTrading,"High performance looks different in every industry. 

Recently, Coach Bruce Pearl joined us at Trillium to discuss leadership, team building, and what it takes to sustain success over time.

More from the conversation coming soon.",0,6/16/2026 9:33,https://www.instagram.com/p/DZp1OAwjpT1/,IG carousel,,Lifetime,4660,2096,72,0,0,0,5,Tuesday,9:30:00 AM
TrilliumTrading,"Great software starts with great people.

When Lukas Jenkins joined Trillium in 2022, he found a collaborative environment where engineers work together to build technology that supports traders every day.

“Everyone's really invested in making the best software possible for our traders and having everyone really collaborate and work together means we can build some pretty incredible things.”

Meet Lukas Jenkins.",115,6/11/2026 9:03,https://www.instagram.com/reel/DZc5ritEm7P/,IG reel,,Lifetime,1362,1196,15,7,2,0,0,Thursday,9:00:00 AM
TrilliumTrading,"Episode 5: Lessons from the Journey 

In the final episode of our Founder Series, Jon Chariton and Lee Maschler reflect on a range of topics that have shaped both Trillium and Lee's career.

From recruiting and identifying potential, to understanding your own pace of development and finding purpose in your work, Lee shares lessons learned over decades in the industry.

Click the link in bio for the full episode.

Thank you for following along with the Founder Series.

#TrilliumTrading #LeeMaschler #FounderSeries #Leadership #Trading #Finance",81,6/10/2026 9:04,https://www.instagram.com/reel/DZaVAIbjWcu/,IG reel,,Lifetime,1342,1150,27,0,0,0,3,Wednesday,9:00:00 AM
TrilliumTrading,"𝗖𝗼𝗻𝘁𝗲𝘀𝘁 𝗶𝘀 𝗡𝗼𝘄 𝗖𝗹𝗼𝘀𝗲𝗱. 𝗖𝗼𝗻𝗴𝗿𝗮𝘁𝘂𝗹𝗮𝘁𝗶𝗼𝗻𝘀 𝘁𝗼 @𝗕𝗲𝗾𝗼𝗖𝗮𝗽𝗶𝘁𝗮𝗹, 𝘄𝗵𝗼 𝗴𝘂𝗲𝘀𝘀𝗲𝗱 $𝟭𝟲𝟭.𝟬𝟬 𝗼𝗻 𝗧𝘄𝗶𝘁𝘁𝗲𝗿 𝗮𝗻𝗱 𝘄𝗮𝘀 𝗯𝗼𝘁𝗵 𝘁𝗵𝗲 𝗰𝗹𝗼𝘀𝗲𝘀𝘁 𝗽𝗿𝗲𝗱𝗶𝗰𝘁𝗶𝗼𝗻 𝗮𝗻𝗱 𝘁𝗵𝗲 𝗲𝗮𝗿𝗹𝗶𝗲𝘀𝘁 𝘀𝘂𝗯𝗺𝗶𝘀𝘀𝗶𝗼𝗻.

🚀 Guess the SpaceX IPO Price

SpaceX is set to go public on Friday, June 12.

What's your guess for the official 4:00 pm closing price?

Drop your prediction in the comments for a chance to win a Trillium swag bag.

Good luck.

𝘙𝘶𝘭𝘦𝘴: 𝘖𝘯𝘦 𝘨𝘶𝘦𝘴𝘴 𝘱𝘦𝘳 𝘱𝘦𝘳𝘴𝘰𝘯. 𝘛𝘩𝘦 𝘧𝘪𝘳𝘴𝘵 𝘱𝘦𝘳𝘴𝘰𝘯 𝘵𝘰 𝘤𝘰𝘳𝘳𝘦𝘤𝘵𝘭𝘺 𝘨𝘶𝘦𝘴𝘴 𝘵𝘩𝘦 𝘤𝘭𝘰𝘴𝘪𝘯𝘨 𝘱𝘳𝘪𝘤𝘦 𝘸𝘪𝘯𝘴. 𝘐𝘧 𝘯𝘰 𝘰𝘯𝘦 𝘨𝘶𝘦𝘴𝘴𝘦𝘴 𝘵𝘩𝘦 𝘦𝘹𝘢𝘤𝘵 𝘱𝘳𝘪𝘤𝘦, 𝘵𝘩𝘦 𝘤𝘭𝘰𝘴𝘦𝘴𝘵 𝘨𝘶𝘦𝘴𝘴 𝘸𝘪𝘯𝘴. 𝘐𝘯 𝘵𝘩𝘦 𝘦𝘷𝘦𝘯𝘵 𝘰𝘧 𝘢 𝘵𝘪𝘦, 𝘵𝘩𝘦 𝘦𝘢𝘳𝘭𝘪𝘦𝘴𝘵 𝘴𝘶𝘣𝘮𝘪𝘴𝘴𝘪𝘰𝘯 𝘸𝘪𝘭𝘭 𝘣𝘦 𝘴𝘦𝘭𝘦𝘤𝘵𝘦𝘥. 𝘋𝘦𝘢𝘥𝘭𝘪𝘯𝘦 𝘧𝘰𝘳 𝘨𝘶𝘦𝘴𝘴𝘦𝘴 11:59 𝘱𝘮 6/11/26.",0,6/9/2026 8:04,https://www.instagram.com/p/DZXpQb7kWAu/,IG image,,Lifetime,5427,2892,35,5,24,49,4,Tuesday,8:00:00 AM
TrilliumTrading,"From the trading floor to the starting line.

Members of our New York and Chicago offices recently participated in the @jpmorgan Corporate Challenge, trading screens for running shoes.

A fun way to connect with colleagues, represent the firm, and enjoy some healthy competition outside the office.

#TrilliumTrading #CorporateChallenge #Culture",0,6/4/2026 9:22,https://www.instagram.com/p/DZK6Zu5jkmh/,IG carousel,,Lifetime,1755,710,43,0,0,2,3,Thursday,9:30:00 AM
TrilliumTrading,"Technology is an edge.

Built for speed. Designed for the trader. Developed in-house.

A closer look at what supports performance.

Swipe to learn more.",0,6/3/2026 9:06,https://www.instagram.com/p/DZITbgylnl3/,IG carousel,,Lifetime,1191,560,17,0,0,0,2,Wednesday,9:00:00 AM
TrilliumTrading,"Seeing it firsthand makes all the difference. 

Students joined us at our NYC office for the 2026 Trillium Student Trek, where they heard from firm leadership, toured the office, and shadowed traders on the floor.

A day of real exposure to the trading environment and a closer look at what it's like to work at Trillium.

Thanks to everyone who joined us.

#TrilliumTrading #StudentTrek #Trading #Careers #Finance #NYC",0,6/2/2026 9:28,https://www.instagram.com/p/DZFxfjVEVtZ/,IG carousel,,Lifetime,5736,2514,97,14,7,0,12,Tuesday,9:30:00 AM
Lee Maschler,"What can traders and all team members learn from a championship coach?
 
Monday Coach @brucepearlofficial Pearl joined us at @trilliumtrading to discuss Performance, Culture, Leadership, and Resilience.
 
Thank you, Coach, for spending time with our team.
 
Stay tuned for highlights and videos from the conversation.

@dcposner 
@athletes4israelorg 
@coachbrucepearl",0,6/2/2026 8:01,https://www.instagram.com/p/DZFnifhDrf5/,IG carousel,,Lifetime,3150,,52,0,,0,0,Tuesday,8:00:00 AM
TrilliumTrading,"Students, mentors, and partners - all connected by a shared goal.

We joined @futuresandoptions at their annual Toast, an evening that brought together the program's community and reflected on the impact it continues to create.

From the conversations to the stories shared, it was a reminder of what’s possible when access and opportunity come together.

We are grateful to be part of this impactful mission and are looking forward to what’s ahead.",0,5/29/2026 9:04,https://www.instagram.com/p/DY7bZiHAAgC/,IG carousel,,Lifetime,1335,676,32,0,0,0,0,Friday,9:00:00 AM
TrilliumTrading,"A closer look at proprietary trading.

Professional structure. Data-driven decisions. Skills that carry forward.

Here’s the full picture.

Swipe to learn more.",0,5/28/2026 9:05,https://www.instagram.com/p/DY42iquFOfr/,IG carousel,,Lifetime,1185,548,31,3,0,0,7,Thursday,9:00:00 AM
TrilliumTrading,"The window is closing.

Early applications for our Summer 2027 Internship roles are closing soon while we prepare for this summer’s internship program.

Applications close June 1st and will not reopen until August 1.

If you’re interested, now’s the time to apply.

#TrilliumTrading #Internships #TradingCareers #FinanceCareers #CampusRecruiting",0,5/27/2026 9:05,https://www.instagram.com/p/DY2RzyflNrG/,IG image,,Lifetime,952,481,15,1,1,0,3,Wednesday,9:00:00 AM
TrilliumTrading,"An evening of reflection, perspective, and possibility.

Our management team attended the @atlasfellows Gala at the Museum of Modern Art, celebrating the Class of 2022 and the next chapter ahead.

It’s an honor to be part of a program that brings together students, mentors, and industry leaders to support future opportunities.",0,5/20/2026 9:05,https://www.instagram.com/p/DYkQTOdlrxX/,IG carousel,,Lifetime,1382,580,46,0,0,0,2,Wednesday,9:00:00 AM
TrilliumTrading,"Trading and investing aren't the same.

In Episode 6 of our Founder Series, Jon Chariton and Lee Maschler discuss Lee’s perspective on personal investing.

From how traders think about risk to how that translates into long-term financial decisions, this episode expands the conversation beyond the desk.

Watch the full episode on YouTube via the link in bio.

#TrilliumTrading #LeeMaschler #FounderSeries #Investing #Finance #Leadership",89,5/19/2026 9:14,https://www.instagram.com/reel/DYhrwxyjBWW/,IG reel,,Lifetime,1034,795,19,0,1,0,4,Tuesday,9:00:00 AM
TrilliumTrading,"You don’t rush growth. It comes from working through complexity, over time.

“Trillium gave me an opportunity and a runway to develop my skills over time. I never felt rushed, I was able to pursue my interests, and that led me to develop in a way that I don't think would have been possible anywhere else.” 

At Trillium, development is built, not forced.

Meet Albi Kavo.",130,5/14/2026 9:04,https://www.instagram.com/reel/DYUzg7GAKr9/,IG reel,,Lifetime,839,678,30,0,0,0,2,Thursday,9:00:00 AM
TrilliumTrading,"What does a trader’s career look like?

Training. Autonomy. Milestones. Mentorship.

If you’re looking for a path built on growth and independence, this is how it evolves.",0,5/13/2026 9:07,https://www.instagram.com/p/DYSOymFlIM3/,IG image,,Lifetime,613,303,15,0,1,0,2,Wednesday,9:00:00 AM
TrilliumTrading,"Trading starts with decisions.

Over time, it becomes about understanding those decisions, what went wrong, what can improve, and how you respond under pressure.

Two perspectives from the desk on what drives progress.",0,5/7/2026 9:02,https://www.instagram.com/p/DYCx5l9FA7L/,IG carousel,,Lifetime,749,333,23,0,0,0,3,Thursday,9:00:00 AM
TrilliumTrading,"What does it take to build a successful trader?

Episode 3 of our Founder Series dives into how Trillium develops entry-level traders.
From investing in training and curriculum to breaking down the “recipe for success,” Lee Maschler shares what drives long-term performance on the desk.

Watch the full clip on YouTube via the link in bio. 

#TrilliumTrading #FounderSeries #Trading #Finance #Careers",55,5/6/2026 8:45,https://www.instagram.com/reel/DYALHBngahI/,IG reel,,Lifetime,919,734,38,1,3,0,0,Wednesday,9:00:00 AM
TrilliumTrading,"A day on the desk can change how you see the markets.
 
We hosted students from the National Technical Honor Society at our NYC office, where they heard from leadership, toured the office, and shadowed traders on the floor.

A continued reflection of our commitment to education and expanding access to careers in the markets.",0,5/5/2026 9:07,https://www.instagram.com/p/DX9o3KrDvBC/,IG carousel,,Lifetime,2800,1102,63,33,0,0,4,Tuesday,9:00:00 AM
TrilliumTrading,"Step inside the trading floor.

Join us at our NYC office to learn more about career paths in trading, meet our team, and hear directly from leadership. Students will tour the office and gain exposure to how decisions are made on the desk.

Open to freshmen through juniors interested in trading, technology, and data.

📍 New York City
 🗓️ Thursday, May 21, 2026
 ⏰ 10:00 AM – 1:30 PM (ET)

Register via the link in bio!

Registration does not guarantee attendance. Selected attendees will be contacted directly.",0,5/1/2026 9:02,https://www.instagram.com/p/DXzVFYroAQh/,IG image,,Lifetime,1429,662,21,16,0,0,3,Friday,9:00:00 AM
TrilliumTrading,"Trading becomes part of who you are. 

It’s not just something you do day to day. Over time, it shapes how you think, how you make decisions, and how you approach the markets. 

When Zach Burr joined Trillium in 2017, he stepped into an environment where that growth compounds through experience on the desk.

“5 to 10 years down the road, I’ll definitely be trading. I don’t think I’ll ever stop… trading is a part of my life now.”

Meet Zach Burr.",186,4/30/2026 9:33,https://www.instagram.com/reel/DXwzwqNOrpl/,IG reel,,Lifetime,742,560,28,1,0,0,2,Thursday,9:30:00 AM
TrilliumTrading,"The best way to understand trading is to see it firsthand.

We welcomed students from @mentornewark to our NYC office for a day on the desk. They heard from firm leadership, walked the floor, and sat alongside traders to experience how decisions are made in real time.

Moments like this reflect our continued partnership with Mentor Newark and a shared commitment to expanding access to the industry.",0,4/29/2026 9:02,https://www.instagram.com/p/DXuLhQxGs6x/,IG carousel,,Lifetime,2975,1107,60,90,0,0,1,Wednesday,9:00:00 AM
TrilliumTrading,"Experience shapes how traders think, prepare, and improve. Hearing directly from our traders offers insight into the mindset behind performance.",0,4/23/2026 9:03,https://www.instagram.com/p/DXeu0YFFbSw/,IG image,,Lifetime,549,303,16,0,0,0,4,Thursday,9:00:00 AM
TrilliumTrading,"Thinking about trading?

Deep market understanding. Analytical rigor. Industry insight. Collaboration under pressure.

If you want skills built in real markets, this is where they’re developed.",0,4/22/2026 9:06,https://www.instagram.com/p/DXcKAa7FbHQ/,IG image,,Lifetime,480,263,13,1,0,0,3,Wednesday,9:00:00 AM
TrilliumTrading,"What drives trading success?

Watch Lee Maschler break down the traits that define success on the desk.

Episode 2 of our Founder Series explores the mindset required to compete at a high level, from discipline and resilience to curiosity and internal drive.

Check out the full episode on YouTube via the link in bio!",73,4/16/2026 9:04,https://www.instagram.com/reel/DXMtNilCZXY/,IG reel,,Lifetime,762,595,24,0,0,0,5,Thursday,9:00:00 AM